order_id,order_date,region,product_line,revenue,units_sold,discount_pct,return_pct,margin_pct,customer_rating
2001,2026-01-05,East,Home,42000,520,5,2,28,4.6
2002,2026-01-12,Central,Electronics,38000,410,6,3,24,4.4
2003,2026-01-19,West,Electronics,22000,260,14,9,11,3.8
2004,2026-02-02,East,Home,45000,550,5,2,29,4.7
2005,2026-02-09,Central,Outdoor,36000,390,7,4,23,4.2
2006,2026-02-16,West,Electronics,21000,240,15,10,10,3.7
2007,2026-03-02,East,Home,39000,470,8,3,25,4.5
2008,2026-03-09,Central,Electronics,34000,360,8,5,21,4.1
2009,2026-03-16,West,Outdoor,16000,210,18,14,7,3.4
2010,2026-04-06,East,Wellness,47000,560,6,2,30,4.8
2011,2026-04-13,Central,Electronics,35500,370,7,4,22,4.2
2012,2026-04-20,West,Wellness,17500,205,17,13,8,3.5
2013,2026-05-04,East,Home,52000,610,4,1,32,4.9
2014,2026-05-11,Central,Outdoor,36500,395,twelve,5,24,4.3
2015,2026-05-18,West,Electronics,19500,225,16,12,9,pending
2016,2026-06-01,East,Enterprise,145000,980,3,1,38,4.9
2017,2026-06-01,East,Enterprise,145000,980,3,1,38,4.9
2018,2026-02-30,West,Electronics,20500,230,15,11,10,3.6
2019,2026-06-15,West,Outdoor,15000,190,20,15,6,3.2
2020,2026-06-22,Central,Home,41000,430,6,3,,4.4
2021,2026-07-06,East,Wellness,48500,570,5,2,31,
2022,2026-07-13,Central,Electronics,37200,400,6,4,23,4.3
